Rank,Global Rank,Institution,Country,Sector,Best Country Quartile
342,5474,Southern Illinois University School of Medicine,USA,Universities,3
343,5506,Middle Tennessee State University,USA,Universities,3
344,5535,San Francisco State University,USA,Universities,2
345,5541,Seton Hall University,USA,Universities,3
346,5590,Florida Institute of Technology,USA,Universities,3
347,5593,Edward Via College of Osteopathic Medicine,USA,Universities,2
348,5624,Duquesne University,USA,Universities,3
349,5627,Wichita State University,USA,Universities,3
350,5685,"California State University, Sacramento",USA,Universities,3
351,5688,"State University of New York, College of Environmental Science and Forestry",USA,Universities,3
352,5740,Webster University *,USA,Universities,3
353,5753,Montclair State University,USA,Universities,3
354,5799,University of New Orleans,USA,Universities,3
355,5811,Alabama State University,USA,Universities,3
356,5848,Swarthmore College,USA,Universities,3
357,5855,"University of Michigan, Flint",USA,Universities,2
358,5856,Mercer University,USA,Universities,3
359,5877,Liberty University,USA,Universities,2
360,5898,United States Naval Academy,USA,Universities,3
361,5912,Haverford College in Pennsylvania,USA,Universities,3
362,5926,University of North Florida,USA,Universities,3
363,5931,Reed College,USA,Universities,3
364,5936,"California State Polytechnic University, Pomona",USA,Universities,3
364,5936,Pace University,USA,Universities,3
366,5953,East Tennessee State University,USA,Universities,3
366,5953,Bowling Green State University,USA,Universities,3
368,5965,"University of Tennessee, Chattanooga",USA,Universities,3
369,5967,Western Washington University,USA,Universities,3
370,5975,Long Island University,USA,Universities,3
371,6005,"University of North Carolina, Wilmington",USA,Universities,3
372,6033,New Mexico Institute of Mining and Technology *,USA,Universities,3
373,6051,Touro College,USA,Universities,3
374,6096,Samford University,USA,Universities,2
375,6117,"University of Illinois, Springfield",USA,Universities,3
376,6121,Carleton College,USA,Universities,3
377,6182,University of West Florida,USA,Universities,3
378,6226,"University of Missouri, Saint Louis",USA,Universities,3
379,6255,Morgan State University,USA,Universities,3
380,6271,Clark Atlanta University,USA,Universities,3
381,6283,DePaul University,USA,Universities,2
382,6288,Bucknell University,USA,Universities,3
383,6293,Occidental College,USA,Universities,3
383,6293,Youngstown State University,USA,Universities,3
385,6310,Trinity University,USA,Universities,3
386,6333,Christopher Newport University,USA,Universities,3
387,6338,Barnard College,USA,Universities,3
388,6353,University of the Incarnate Word,USA,Universities,3
389,6366,Appalachian State University,USA,Universities,2
390,6418,Pepperdine University,USA,Universities,2
391,6452,"University of New England, United States",USA,Universities,3
392,6473,Pomona College,USA,Universities,3
392,6473,Ball State University,USA,Universities,3
394,6493,"State University of New York, College at Oswego",USA,Universities,3
395,6501,"Wesleyan University, Middletown",USA,Universities,3
